CMDLINE mpiexec --oversubscribe -n 6 python run.py
CHLD 0 171.796875 1616612187.7113
CHLD 1 172.835938 1616612187.7114
CHLD 2 172.765625 1616612187.7114
CHLD 3 172.726562 1616612187.7115
CHLD 4 173.503906 1616612187.7115
CHLD 5 171.609375 1616612187.7115
MEM 1086.046875 1616612187.8202
CHLD 0 179.347656 1616612187.8277
CHLD 1 178.062500 1616612187.8277
CHLD 2 180.378906 1616612187.8278
CHLD 3 177.816406 1616612187.8278
CHLD 4 178.609375 1616612187.8278
CHLD 5 179.023438 1616612187.8278
MEM 1110.062500 1616612187.9417
CHLD 0 182.417969 1616612187.9494
CHLD 1 183.265625 1616612187.9494
CHLD 2 183.289062 1616612187.9494
CHLD 3 183.312500 1616612187.9495
CHLD 4 184.011719 1616612187.9495
CHLD 5 182.437500 1616612187.9495
MEM 1142.671875 1616612188.0633
CHLD 0 187.792969 1616612188.0711
CHLD 1 188.445312 1616612188.0711
CHLD 2 188.453125 1616612188.0712
CHLD 3 188.468750 1616612188.0712
CHLD 4 188.984375 1616612188.0712
CHLD 5 187.718750 1616612188.0713
MEM 1158.675781 1616612188.1847
CHLD 0 191.437500 1616612188.1909
CHLD 1 190.316406 1616612188.1909
CHLD 2 191.898438 1616612188.1910
CHLD 3 190.207031 1616612188.1910
CHLD 4 190.707031 1616612188.1910
CHLD 5 191.300781 1616612188.1910
MEM 1168.789062 1616612188.3005
CHLD 0 192.355469 1616612188.3086
CHLD 1 192.222656 1616612188.3086
CHLD 2 192.902344 1616612188.3087
CHLD 3 192.878906 1616612188.3087
CHLD 4 193.332031 1616612188.3087
CHLD 5 192.289062 1616612188.3087
MEM 1173.312500 1616612188.4248
CHLD 0 193.003906 1616612188.4309
CHLD 1 193.515625 1616612188.4310
CHLD 2 193.593750 1616612188.4310
CHLD 3 193.480469 1616612188.4310
CHLD 4 193.921875 1616612188.4310
CHLD 5 192.988281 1616612188.4310
MEM 1173.820312 1616612188.5466
CHLD 0 193.085938 1616612188.5533
CHLD 1 193.593750 1616612188.5533
CHLD 2 193.679688 1616612188.5534
CHLD 3 193.566406 1616612188.5534
CHLD 4 194.011719 1616612188.5534
CHLD 5 193.074219 1616612188.5534
MEM 1188.015625 1616612188.6612
CHLD 0 195.578125 1616612188.6692
CHLD 1 195.964844 1616612188.6692
CHLD 2 196.183594 1616612188.6692
CHLD 3 195.890625 1616612188.6693
CHLD 4 196.339844 1616612188.6693
CHLD 5 195.250000 1616612188.6694
MEM 1204.214844 1616612188.7787
CHLD 0 198.257812 1616612188.7854
CHLD 1 198.777344 1616612188.7855
CHLD 2 198.847656 1616612188.7855
CHLD 3 198.406250 1616612188.7855
CHLD 4 199.058594 1616612188.7855
CHLD 5 198.058594 1616612188.7855
MEM 1206.597656 1616612188.8935
CHLD 0 198.730469 1616612188.9019
CHLD 1 199.078125 1616612188.9019
CHLD 2 199.261719 1616612188.9019
CHLD 3 198.828125 1616612188.9020
CHLD 4 199.359375 1616612188.9020
CHLD 5 198.531250 1616612188.9020
MEM 1208.636719 1616612189.0096
CHLD 0 199.226562 1616612189.0164
CHLD 1 199.582031 1616612189.0165
CHLD 2 199.773438 1616612189.0165
CHLD 3 199.339844 1616612189.0165
CHLD 4 199.859375 1616612189.0165
CHLD 5 199.035156 1616612189.0165
MEM 1221.191406 1616612189.1235
CHLD 0 201.136719 1616612189.1293
CHLD 1 201.472656 1616612189.1293
CHLD 2 201.808594 1616612189.1294
CHLD 3 201.343750 1616612189.1294
CHLD 4 201.804688 1616612189.1294
CHLD 5 200.816406 1616612189.1294
MEM 1222.917969 1616612189.2416
CHLD 0 201.386719 1616612189.2499
CHLD 1 201.726562 1616612189.2500
CHLD 2 202.097656 1616612189.2500
CHLD 3 201.589844 1616612189.2500
CHLD 4 202.117188 1616612189.2500
CHLD 5 201.191406 1616612189.2500
MEM 1225.410156 1616612189.3629
CHLD 0 201.828125 1616612189.3714
CHLD 1 202.718750 1616612189.3714
CHLD 2 202.492188 1616612189.3714
CHLD 3 202.539062 1616612189.3714
CHLD 4 203.031250 1616612189.3715
CHLD 5 202.050781 1616612189.3715
MEM 1231.441406 1616612189.4784
CHLD 0 202.761719 1616612189.4848
CHLD 1 203.242188 1616612189.4849
CHLD 2 203.527344 1616612189.4849
CHLD 3 203.066406 1616612189.4849
CHLD 4 203.511719 1616612189.4849
CHLD 5 202.523438 1616612189.4850
MEM 1232.957031 1616612189.6010
CHLD 0 203.269531 1616612189.6073
CHLD 1 203.492188 1616612189.6073
CHLD 2 203.781250 1616612189.6073
CHLD 3 203.316406 1616612189.6073
CHLD 4 203.765625 1616612189.6074
CHLD 5 202.777344 1616612189.6074
MEM 1237.433594 1616612189.7193
CHLD 0 203.710938 1616612189.7255
CHLD 1 204.195312 1616612189.7255
CHLD 2 204.550781 1616612189.7256
CHLD 3 204.085938 1616612189.7256
CHLD 4 204.535156 1616612189.7256
CHLD 5 203.546875 1616612189.7256
MEM 1237.945312 1616612189.8385
CHLD 0 203.968750 1616612189.8454
CHLD 1 204.449219 1616612189.8454
CHLD 2 204.550781 1616612189.8455
CHLD 3 204.085938 1616612189.8455
CHLD 4 204.792969 1616612189.8455
CHLD 5 203.804688 1616612189.8455
MEM 1240.945312 1616612189.9583
CHLD 0 204.480469 1616612189.9707
CHLD 1 204.875000 1616612189.9708
CHLD 2 205.066406 1616612189.9708
CHLD 3 204.601562 1616612189.9708
CHLD 4 205.050781 1616612189.9709
CHLD 5 204.062500 1616612189.9709
MEM 1244.832031 1616612190.0822
CHLD 0 205.238281 1616612190.0934
CHLD 1 205.625000 1616612190.0934
CHLD 2 206.066406 1616612190.0935
CHLD 3 205.605469 1616612190.0935
CHLD 4 205.988281 1616612190.0935
CHLD 5 204.996094 1616612190.0936
MEM 1247.335938 1616612190.2093
CHLD 0 205.492188 1616612190.2149
CHLD 1 205.871094 1616612190.2149
CHLD 2 206.066406 1616612190.2149
