# x[px] 	 y[px] 	 vrms[kms] 	 erms[km/s]
2.300000000000000000e+01 3.600000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.400000000000000000e+01 3.600000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.500000000000000000e+01 3.600000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.600000000000000000e+01 3.600000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.700000000000000000e+01 3.600000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.800000000000000000e+01 3.600000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.900000000000000000e+01 3.600000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
3.000000000000000000e+01 3.600000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.100000000000000000e+01 3.600000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.200000000000000000e+01 3.600000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.300000000000000000e+01 3.600000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.400000000000000000e+01 3.600000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
2.400000000000000000e+01 3.700000000000000000e+01 2.431927146569108231e+02 2.431927146569108231e+02
2.500000000000000000e+01 3.700000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.600000000000000000e+01 3.700000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.700000000000000000e+01 3.700000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.800000000000000000e+01 3.700000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.900000000000000000e+01 3.700000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
3.000000000000000000e+01 3.700000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
3.100000000000000000e+01 3.700000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.200000000000000000e+01 3.700000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.300000000000000000e+01 3.700000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
2.500000000000000000e+01 3.800000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.600000000000000000e+01 3.800000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.700000000000000000e+01 3.800000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.800000000000000000e+01 3.800000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
2.900000000000000000e+01 3.800000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
3.000000000000000000e+01 3.800000000000000000e+01 2.349312132277343323e+02 2.349312132277343323e+02
3.100000000000000000e+01 3.800000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
3.200000000000000000e+01 3.800000000000000000e+01 2.537683399478618753e+02 2.537683399478618753e+02
