# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
9 2 -3.269432806864035115e+02 3.165954616808317610e+02 1.302771849267224225e+00 1.288566691851561785e+01
9 3 -3.236732999984018306e+02 3.356895820505415600e+02 1.364201738680528297e+00 1.133445710704515363e+01
9 4 -2.782489854705365246e+02 3.151608753623226562e+02 1.161364001205382301e+00 8.578924892358086751e+00
9 5 -2.990008691385809243e+02 3.280715937954726655e+02 1.387232072420106599e+00 8.388684862904044692e+00
9 6 -3.060779625204518197e+02 3.331434175046510973e+02 1.053460803623631703e+00 6.177603560416885742e+00
9 7 -3.216754910766643434e+02 3.344051335751601641e+02 1.458311198994114211e+00 5.907469885190489656e+00
9 8 -3.167430126054487687e+02 3.559091856794468072e+02 1.889004016262223029e+00 5.073524900997140819e+00
9 9 -3.146555642071949705e+02 3.859822758757647421e+02 1.888876661220605158e+00 4.656785945364718238e+00
9 10 -3.215145134760998076e+02 3.819736349994452098e+02 2.160504445168383025e+00 5.029581358042565675e+00
9 11 -3.212547502087144267e+02 3.518021468661033850e+02 1.929742645707676951e+00 5.541294305202145054e+00
9 12 -3.089714214393332554e+02 3.331921693016239487e+02 1.418533570113681863e+00 5.820288677435987879e+00
9 13 -3.288624208406837397e+02 3.295090487225057814e+02 1.254469888934931499e+00 6.574157382946217432e+00
9 14 -3.145699414934648530e+02 3.319449892617716387e+02 1.605344075704482787e+00 9.318676373021146375e+00
9 15 -2.964024914665173469e+02 3.481615905779822810e+02 1.373212639412143110e+00 1.034741924307855498e+01
9 16 -3.198617582655143110e+02 3.629149104359054263e+02 1.251251608420226091e+00 1.305981431786370628e+01
9 17 -3.152263187187711537e+02 3.083635688997587749e+02 1.250186129455587603e+00 1.312510945264326878e+01
9 18 -2.958005419630960091e+02 3.006256780931353205e+02 1.181011407660110146e+00 1.335290367129661604e+01
9 19 -3.414837525685676951e+02 3.090905846516848214e+02 1.324169454443276495e+00 1.675380140844940868e+01
10 0 -3.256585579795610101e+02 3.088267755634688001e+02 1.510417630687177937e+00 1.489496448677722817e+01
10 1 -3.116434602884547189e+02 3.145004853215920093e+02 1.122633167708768198e+00 1.237648866263411662e+01
