_RAJ2000,_DEJ2000,_r,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS12,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
135.792576,0.65786,0.008272,135.792576,0.65786,2,,6,J090310.21+003928.2,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.21%2b003928.2,2000.9157,3,24.011,0.783,21.347,0.054,20.026,0.024,19.448,0.024,19.117,0.061,,,,
135.794321,0.64365,0.009055,135.794321,0.64365,2,,6,J090310.63+003837.1,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.63%2b003837.1,2000.9157,3,23.173,0.459,21.989,0.094,20.54,0.038,19.623,0.028,19.104,0.062,,,,
135.798235,0.6518,2.1E-5,135.798235,0.6518,2,,3,J090311.57+003906.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.57%2b003906.4,2000.9157,3,21.844,0.289,20.416,0.045,18.78,0.017,18.205,0.016,17.817,0.041,,,,
135.800554,0.647714,0.004719,135.800554,0.647714,2,,3,J090312.13+003851.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.13%2b003851.7,2000.9157,3,22.414,0.281,21.346,0.061,20.617,0.045,20.219,0.052,19.675,0.116,,,,
135.802042,0.64648,0.006562,135.802042,0.64648,2,,3,J090312.49+003847.3,,2000.9157,3,24.038,1.435,21.627,0.118,20.713,0.077,20.484,0.107,20.224,0.313,,,,
135.803083,0.657401,0.007398,135.803083,0.657401,2,,3,J090312.73+003926.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.73%2b003926.6,2000.9157,3,22.46,0.381,22.513,0.22,21.474,0.126,22.436,0.503,20.581,0.348,,,,
135.802487,0.657636,0.00721,135.802487,0.657636,2,,3,J090312.59+003927.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.59%2b003927.4,2000.9157,3,24.364,0.948,23.347,0.324,22.805,0.29,21.447,0.143,21.196,0.409,,,,
135.808816,0.655106,0.011087,135.808816,0.655106,2,,3,J090314.11+003918.3,,2000.9157,3,23.576,0.787,22.539,0.192,21.104,0.078,20.697,0.09,19.774,0.145,,,,
135.791541,0.646356,0.008634,135.791541,0.646356,2,,6,J090309.96+003846.8,,2000.9157,3,23.939,0.759,22.999,0.221,22.478,0.196,21.916,0.2,23.06,0.837,,,,
135.801124,0.662043,0.010626,135.801124,0.662043,2,,3,J090312.26+003943.3,,2000.9157,3,25.439,1.159,22.456,0.222,21.33,0.122,20.659,0.111,19.751,0.184,,,,
