# y_px x_px vel(km/s) disp(km/s) chi2/DOF dV dsigma
9 13 -3.288624232279558441e+02 3.295090478570920141e+02 9.999999981590875775e-01 6.757022942436032409e+00 6.574157559440508614e+00
9 14 -3.145699418968332566e+02 3.319449891515470767e+02 1.000000005897048627e+00 9.656107377633446731e+00 9.318676207438736370e+00
9 15 -2.964024887220958249e+02 3.481615916312443346e+02 9.999999592118307135e-01 1.060661654880266092e+01 1.034741902290976689e+01
9 16 -3.198617563794505259e+02 3.629149107482788281e+02 1.000000023950430306e+00 1.311051538287832585e+01 1.305981441123856435e+01
9 17 -3.152263177611168885e+02 3.083635703715372074e+02 1.000000050783132366e+00 1.331468069116574959e+01 1.312510962010470905e+01
9 18 -2.958005419220805834e+02 3.006256733523191542e+02 9.999999727932490368e-01 1.375935938911779743e+01 1.335290233635816470e+01
9 19 -3.414837493462544558e+02 3.090905831772022907e+02 1.000000056714470009e+00 1.728991418060373420e+01 1.675380125484020155e+01
10 0 -3.256585586773462637e+02 3.088267765539903280e+02 1.000000030370259863e+00 1.528302428163254412e+01 1.489496509048706585e+01
10 1 -3.116434579807460068e+02 3.145004852649794316e+02 9.999999465844225943e-01 1.284550150642886734e+01 1.237648841415021650e+01
10 2 -3.200558996878434641e+02 3.380962084836023109e+02 9.999999673532687927e-01 1.387094666598598458e+01 1.353378796830796027e+01
10 3 -3.561839007022655323e+02 3.529026935083050489e+02 9.999999735584267357e-01 1.283681317702481905e+01 1.247505655565566052e+01
10 4 -2.993956832411859637e+02 3.363880571057774773e+02 9.999999462323889698e-01 9.871977306921246864e+00 9.559232809224061711e+00
10 5 -3.083713388539329117e+02 3.227230517218432055e+02 1.000000014582297370e+00 8.320367551491266056e+00 7.661020731710960874e+00
10 6 -2.953927363271171203e+02 3.202225923156665317e+02 9.999999609054742722e-01 6.765178705699096184e+00 6.595813523496942388e+00
10 7 -3.131961967004834833e+02 3.411270585090800296e+02 1.000000022454289095e+00 5.437096536441292649e+00 5.329614308564488034e+00
10 8 -3.145620353304837522e+02 3.574799960340114353e+02 1.000000004248546404e+00 5.360221283245070190e+00 5.284546643463220228e+00
10 9 -3.131347987420937784e+02 3.807816772335296491e+02 1.000000032922272464e+00 5.665307959377529734e+00 5.559847957512452865e+00
10 10 -3.145618696283146392e+02 3.707059052774053498e+02 9.999999983884519938e-01 5.058732169509622345e+00 4.995952012098819672e+00
10 11 -3.178065501248862574e+02 3.408412822733857297e+02 1.000000047791757884e+00 5.345244831129689622e+00 5.251815769680553636e+00
